existence_confidence,target,lemmed_tweets,stemmed_tweets
1.0,1,report urge government actbrussels belgium ap world face increase hunger,report urg govern actbrussel belgium ap world face increas hunger
1.0,1,fight poverty africa,fight poverti africa
0.8786,1,carbon offset vatican forest fail reduce,carbon offset vatican forest fail reduc
0.8087,1,uruguay tool need vulnerable,uruguay tool need vulner
1.0,1,sejorg jaymiheimbuch ocean saltiness show intensify water cycle,sejorg jaymiheimbuch ocean salti show intensifi water cycl
1.0,1,evidence usa message denier doubter just look,evid usa messag denier doubter just look
1.0,1,migratory bird new strategy stay home,migratori bird new strategi stay home
1.0,1,southern africa compete limpopo water bring high temperature southe,southern africa compet limpopo water bring higher temperatur south
1.0,1,impact wheat rice production indialudhiana apr scarcity water,impact wheat rice product indialudhiana apr scarciti water
0.9073,1,solve thing,solv thing
1.0,1,bloga preliminary analysis suggests natural gas contribute far previously,bloga preliminari analysi suggest natur ga contribut far previous
0.5488,1,ecotone population perspective,ecoton popul perspect
0.8823,1,blame coastal whale migration dwindles • à ventura county,blame coastal whale migrat dwindl • à ventura counti
1.0,2,spring storm season start little late year,spring storm season start littl late year
0.75,1,government report say cause cancer mental illness cnsnewscom,govern report say caus cancer mental ill cnsnewscom
1.0,1,earthday affect patient symptom,earthday affect patient symptom
0.6648,0,wait here idea natural human induced,wait here idea natur human induc
1.0,1,epa issue report indicator have measurable effect ecosystem,epa issu report indic have measur effect ecosystem
0.5194,1,qut researcher track,qut research track
1.0,1,ocean chemistry change faster year thats carbon,ocean chemistri chang faster year that carbon
1.0,1,topography mountain complicate rate sciencedaily apr • à new study concl,topographi mountain complic rate sciencedaili apr • à new studi concl
1.0,1,soar mercury blame warmingagartala apr environmentalist attribute,soar mercuri blame warmingagartala apr environmentalist attribut
1.0,1,wgofnyc leader national indigenous woman org just abt abt r life bitly gdzrw,wgofnyc leader nation indigen women org just abt abt r live bitli gdzrw
0.8771,1,gregmitch reporting increase sediment upper atmospher reduce effect reduce sun,gregmitch report increas sediment upper atmosph reduc effect reduc sun
0.8887,1,effect • à youtube • à effect stats news today ama,effect • à youtub • à effect stat news today ama
0.5247,1,changenot ac read wwwassociatedcontentcomarticle globalclimatechangenotglobalwarminghtml,changenot ac read wwwassociatedcontentcomarticl globalclimatechangenotglobalwarminghtml
1.0,1,preliminary analysis suggests natural gas contribute far previously thought,preliminari analysi suggest natur ga contribut far previous thought
0.7749,1,science scientist explore evolution,scienc scientist explor evolut
1.0,1,eaarth stay deal,eaarth stay deal
1.0,1,allergy bad blame,allergi wors blame
0.8197,0,newfederalists good auth tht cause toe fungus r fortunate tht thr tcot,newfederalist good auth tht caus toe fungu r fortun tht thr tcot
0.9183,0,illegal war myth warmingmy main campaign platform election illegal,illeg war myth warmingmi main campaign platform elect illeg
0.9336,0,scientific community scam green gov scam,scientif commun scame green gov scam
,2,truly fat as gore scam artist award decade energy credit worth close billion,truli fat ass gore scam artist award decad energi credit worth close billion
1.0,0,degree nyc urinate liberal scum,degre nyc urin liber scum
1.0,0,virgiltexas hey al gore tornado race mississippi tornadocot ocra sgp gop ucot tlot p tycot,virgiltexa hey al gore tornado race mississippi tornadocot ocra sgp gop ucot tlot p tycot
0.9174,0,stop book stop confirm settle • à scam wndcom sussmans book,stop book stop confirm settl • à scam wndcom sussman book
1.0,0,rationalist believe alien exist warmingcaused human believe jesus miraclesangels fairy tcot p,rationalist believ alien exist warmingcaus human believ jesu miraclesangel fairi tcot p
,2,air ban lead flaw computer model come mind,air ban led flaw comput model come mind
